 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5001
Press CTRL+C to quit
127.0.0.1 - - [27/Mar/2026 11:27:08] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:24] "GET /api/inventory/items?q=G&pageSize=6 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:22] "OPTIONS /api/inventory/items?q=G&pageSize=11 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:22] "GET /api/inventory/items?q=G&pageSize=11 HTTP/1.1" 401 -
127.0.0.1 - - [28/Mar/2026 03:21:22] "OPTIONS /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:22] "POST /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:22] "GET /api/inventory/items?q=G&pageSize=11 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:24] "OPTIONS /api/inventory/items?q=G&pageSize=10 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:24] "GET /api/inventory/items?q=G&pageSize=10 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:25] "OPTIONS /api/inventory/items?q=G&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 03:21:25] "GET /api/inventory/items?q=G&pageSize=5 HTTP/1.1" 200 -
